$Sample;$ROI;$XPos;$YPos;$ZPos;$Dim;$Threshold;
C0014618;1;321.0;341.0;0.0;358.0;7412.0;
C0014618;2;321.0;339.0;229.0;358.0;7412.0;
C0014618;3;326.0;344.0;458.0;358.0;7412.0;
C0014647;1;334.0;342.0;0.0;358.0;7170.0;
C0014647;2;324.0;332.0;229.0;358.0;7170.0;
C0014647;3;323.0;335.0;458.0;358.0;7170.0;
C0014648;1;320.0;335.0;0.0;358.0;7221.0;
C0014648;2;313.0;336.0;229.0;358.0;7221.0;
C0014648;3;318.0;333.0;458.0;358.0;7221.0;
C0014658;1;329.0;351.0;0.0;358.0;6931.0;
C0014658;2;324.0;346.0;229.0;358.0;6931.0;
C0014658;3;323.0;341.0;458.0;358.0;6931.0;
C0014659;1;323.0;330.0;0.0;358.0;7132.0;
C0014659;2;314.0;337.0;229.0;358.0;7132.0;
C0014659;3;320.0;331.0;458.0;358.0;7132.0;
C0014669;1;327.0;365.0;0.0;358.0;7864.0;
C0014669;2;327.0;368.0;229.0;358.0;7864.0;
C0014669;3;317.0;357.0;458.0;358.0;7864.0;
C0014670;1;325.0;325.0;0.0;358.0;6785.0;
C0014670;2;327.0;327.0;229.0;358.0;6785.0;
C0014670;3;329.0;323.0;458.0;358.0;6785.0;
C0014974;1;320.0;350.0;0.0;358.0;7057.0;
C0014974;2;313.0;358.0;229.0;358.0;7057.0;
C0014974;3;317.0;365.0;458.0;358.0;7057.0;
C0014975;1;317.0;350.0;0.0;358.0;7610.0;
C0014975;2;321.0;348.0;229.0;358.0;7610.0;
C0014975;3;320.0;348.0;458.0;358.0;7610.0;
C0015028;1;313.0;343.0;0.0;358.0;7422.0;
C0015028;2;311.0;344.0;229.0;358.0;7422.0;
C0015028;3;312.0;341.0;458.0;358.0;7422.0;
C0015029;1;317.0;351.0;0.0;358.0;7497.0;
C0015029;2;314.0;347.0;229.0;358.0;7497.0;
C0015029;3;317.0;344.0;458.0;358.0;7497.0;
C0015052;1;325.0;335.0;0.0;358.0;7186.0;
C0015052;2;326.0;336.0;229.0;358.0;7186.0;
C0015052;3;322.0;338.0;458.0;358.0;7186.0;
C0015053;1;308.0;337.0;0.0;358.0;7054.0;
C0015053;2;316.0;338.0;229.0;358.0;7054.0;
C0015053;3;315.0;335.0;458.0;358.0;7054.0;
C0015054;1;322.0;360.0;0.0;358.0;7524.0;
C0015054;2;318.0;362.0;229.0;358.0;7524.0;
C0015054;3;322.0;360.0;458.0;358.0;7524.0;
C0015064;1;316.0;329.0;0.0;358.0;7566.0;
C0015064;2;316.0;333.0;229.0;358.0;7566.0;
C0015064;3;317.0;335.0;458.0;358.0;7566.0;
C0015069;1;312.0;347.0;0.0;358.0;7275.0;
C0015069;2;316.0;345.0;229.0;358.0;7275.0;
C0015069;3;318.0;348.0;458.0;358.0;7275.0;
C0015070;1;315.0;356.0;0.0;358.0;6979.0;
C0015070;2;323.0;354.0;229.0;358.0;6979.0;
C0015070;3;324.0;351.0;458.0;358.0;6979.0;
C0015086;1;324.0;341.0;0.0;358.0;6612.0;
C0015086;2;327.0;340.0;229.0;358.0;6612.0;
C0015086;3;326.0;338.0;458.0;358.0;6612.0;
C0015105;1;300.0;337.0;0.0;358.0;7287.0;
C0015105;2;298.0;330.0;229.0;358.0;7287.0;
C0015105;3;297.0;333.0;458.0;358.0;7287.0;
C0015107;1;310.0;344.0;0.0;358.0;6697.0;
C0015107;2;323.0;339.0;229.0;358.0;6697.0;
C0015107;3;327.0;338.0;458.0;358.0;6697.0;
C0017431;1;327.0;341.0;0.0;358.0;7342.0;
C0017431;2;325.0;344.0;229.0;358.0;7342.0;
C0017431;3;316.0;340.0;458.0;358.0;7342.0;
C0017562;1;320.0;328.0;0.0;358.0;7771.0;
C0017562;2;310.0;338.0;229.0;358.0;7771.0;
C0017562;3;315.0;346.0;458.0;358.0;7771.0;
C0017563;1;312.0;344.0;0.0;358.0;6914.0;
C0017563;2;314.0;344.0;229.0;358.0;6914.0;
C0017563;3;316.0;345.0;458.0;358.0;6914.0;
C0017564;1;314.0;356.0;0.0;358.0;7320.0;
C0017564;2;312.0;342.0;229.0;358.0;7320.0;
C0017564;3;316.0;343.0;458.0;358.0;7320.0;
C0017565;1;334.0;352.0;0.0;358.0;7198.0;
C0017565;2;330.0;343.0;229.0;358.0;7198.0;
C0017565;3;328.0;340.0;458.0;358.0;7198.0;
C0017566;1;316.0;345.0;0.0;358.0;7094.0;
C0017566;2;319.0;350.0;229.0;358.0;7094.0;
C0017566;3;318.0;354.0;458.0;358.0;7094.0;
